Month,M3
1980-1-1,1107.1
1980-2-1,1107.4
1980-3-1,1119.5
1980-4-1,1121.7
1980-5-1,1127.6
1980-6-1,1142.4
1980-7-1,1148.1
1980-8-1,1147.9
1980-9-1,1155.1
1980-10-1,1159.6
1980-11-1,1186.6
1980-12-1,1230.5
1981-1-1,1219.9
1981-2-1,1226.9
1981-3-1,1235
1981-4-1,1242.4
1981-5-1,1258.4
1981-6-1,1268.4
1981-7-1,1269.4
1981-8-1,1268.6
1981-9-1,1282.7
1981-10-1,1286.5
1981-11-1,1304.6
1981-12-1,1356.9
1982-1-1,1355.4
1982-2-1,1360.8
1982-3-1,1366.8
1982-4-1,1371.8
1982-5-1,1384.3
1982-6-1,1404.8
1982-7-1,1411.3
1982-8-1,1415.7
1982-9-1,1428.1
1982-10-1,1436.2
1982-11-1,1450.7
1982-12-1,1511.6
1983-1-1,1505.5
1983-2-1,1507.2
1983-3-1,1504
1983-4-1,1513.4
1983-5-1,1524.1
1983-6-1,1538.7
1983-7-1,1552.1
1983-8-1,1547.9
1983-9-1,1553.1
1983-10-1,1567.5
1983-11-1,1584.1
1983-12-1,1647.6
1984-1-1,1634
1984-2-1,1630.3
1984-3-1,1630.4
1984-4-1,1643.7
1984-5-1,1653.4
1984-6-1,1667.9
1984-7-1,1680.2
1984-8-1,1676.5
1984-9-1,1703.2
1984-10-1,1702
1984-11-1,1713.3
1984-12-1,1788.8
1985-1-1,1775.4
1985-2-1,1781.5
1985-3-1,1789.7
1985-4-1,1795.3
1985-5-1,1793.4
1985-6-1,1817.7
1985-7-1,1821.9
1985-8-1,1813.6
1985-9-1,1830.8
1985-10-1,1832.4
1985-11-1,1844.7
1985-12-1,1927.9
1986-1-1,1903.9
1986-2-1,1899.7
1986-3-1,1917.3
1986-4-1,1913.7
1986-5-1,1919.7
1986-6-1,1941.4
1986-7-1,1948.1
1986-8-1,1949.3
1986-9-1,1964.9
1986-10-1,1973.4
1986-11-1,1999.9
1986-12-1,2058.9
1987-1-1,2042.7
1987-2-1,2040.5
1987-3-1,2049.1
1987-4-1,2063.9
1987-5-1,2081.9
1987-6-1,2099.1
1987-7-1,2102.9
1987-8-1,2109.1
1987-9-1,2125.1
1987-10-1,2136.4
1987-11-1,2162.8
1987-12-1,2221.6
1988-1-1,2209.2
1988-2-1,2204.6
1988-3-1,2203.4
