"date","dax","ftse"
"9.12.1991",1559.05,805.66
"10.12.1991",1551.11,799.8
"11.12.1991",1543.59,795.55
"12.12.1991",1546.39,810.02
"13.12.1991",1558.34,819.35
"16.12.1991",1552.89,815.8
"17.12.1991",1560.93,813.12
"18.12.1991",1573.75,806.79
"19.12.1991",1561.77,799.43
"20.12.1991",1543.19,788.3
"23.12.1991",1539.62,784.06
"24.12.1991",1539.62,797.06
"25.12.1991",1539.62,797.06
"26.12.1991",1539.62,797.06
"27.12.1991",1563.59,808.49
"30.12.1991",1577.98,810.62
"31.12.1991",1577.98,834.99
"1.1.1992",1577.98,834.99
"2.1.1992",1601.88,834.91
"3.1.1992",1603.62,838.77
"6.1.1992",1603.32,835.04
"7.1.1992",1592.45,831.55
"8.1.1992",1578.73,826.3
"9.1.1992",1589.76,836.66
"10.1.1992",1615.71,829.84
"13.1.1992",1622.67,835.63
"14.1.1992",1628.53,844.45
"15.1.1992",1667.5,851.37
"16.1.1992",1666.34,852.96
"17.1.1992",1670.99,851.2
"20.1.1992",1677.17,854.32
"21.1.1992",1685.29,853.49
"22.1.1992",1680.1,846.34
"23.1.1992",1669.57,847.42
"24.1.1992",1664.77,842.37
"27.1.1992",1683.58,853.39
"28.1.1992",1683.08,857.28
"29.1.1992",1672.4,855.44
"30.1.1992",1680.91,856.91
"31.1.1992",1687.49,863.75
"3.2.1992",1689.01,859.93
"4.2.1992",1676.4,858.91
"5.2.1992",1686.62,855.6
"6.2.1992",1681.13,851.33
"7.2.1992",1685.52,845.66
"10.2.1992",1682.13,853.07
"11.2.1992",1683.55,852.63
"12.2.1992",1678.92,848.06
"13.2.1992",1681.39,847.86
"14.2.1992",1676.48,844.81
"17.2.1992",1681.07,853.86
"18.2.1992",1694.99,858.86
"19.2.1992",1687.79,852.43
"20.2.1992",1703.18,854.81
"21.2.1992",1717.63,854.38
"24.2.1992",1729.1,863.55
"25.2.1992",1722.3,859.04
"26.2.1992",1737.27,865.14
"27.2.1992",1749.9,864.21
"28.2.1992",1745.13,864.34
"2.3.1992",1747.87,861.74
"3.3.1992",1763.31,865.37
"4.3.1992",1759.05,862.97
"5.3.1992",1764.8,856.22
"6.3.1992",1745.95,854.45
"9.3.1992",1750.25,863.07
"10.3.1992",1750.54,871.56
"11.3.1992",1743.42,853.81
"12.3.1992",1727.5,843.81
"13.3.1992",1733.47,838.03
"16.3.1992",1724.8,836.24
"17.3.1992",1730.07,843.13
"18.3.1992",1732.18,834.22
"19.3.1992",1724.63,835.28
"20.3.1992",1736.3,831.48
"23.3.1992",1717.47,828.62
"24.3.1992",1713.11,834.6
"25.3.1992",1716.26,836.59
"26.3.1992",1719.02,839.16
"27.3.1992",1711.45,830.95
"30.3.1992",1710.31,832.7
"31.3.1992",1717.86,828.26
"1.4.1992",1707.3,817.5
"2.4.1992",1721.66,816.49
"3.4.1992",1719.63,808.74
"6.4.1992",1734.62,818.01
"7.4.1992",1739.42,819.21
"8.4.1992",1720.01,815.39
"9.4.1992",1720.25,830.17
"10.4.1992",1736.07,876.44
"13.4.1992",1727.74,882.66
"14.4.1992",1732.53,885.81
"15.4.1992",1743.79,899.4
"16.4.1992",1749.23,898.87
"17.4.1992",1749.23,898.87
"20.4.1992",1749.23,898.87
"21.4.1992",1746.5,894.48
"22.4.1992",1753.3,888.32
"23.4.1992",1752.44,889.1
"24.4.1992",1745.7,900.42
"27.4.1992",1742.22,907.46
"28.4.1992",1735.94,904.96
"29.4.1992",1735.91,909.67
"30.4.1992",1734.03,905.89
"1.5.1992",1734.03,908.05
"4.5.1992",1728.29,908.05
"5.5.1992",1732.64,908.86
"6.5.1992",1743.5,921.31
"7.5.1992",1750.81,922.25
"8.5.1992",1748.18,930.49
"11.5.1992",1753.03,936.18
"12.5.1992",1751.16,930.91
"13.5.1992",1749.42,930.47
"14.5.1992",1742.26,921.45
"15.5.1992",1724.07,917.27
"18.5.1992",1758.43,924.45
"19.5.1992",1763.26,923.43
"20.5.1992",1787.5,927.37
"21.5.1992",1785.48,923.88
"22.5.1992",1802.96,928.41
"25.5.1992",1811.57,928.41
"26.5.1992",1806.66,924.77
"27.5.1992",1794.05,922.69
"28.5.1992",1794.05,921.33
"29.5.1992",1803.22,925.78
"1.6.1992",1798.14,924.94
"2.6.1992",1801.39,927.81
"3.6.1992",1788.58,919.15
"4.6.1992",1792.31,919.56
"5.6.1992",1789.07,915.04
"8.6.1992",1789.07,907.39
"9.6.1992",1786.26,903.82
"10.6.1992",1789.76,904.04
"11.6.1992",1781.81,896.52
"12.6.1992",1782.27,892.91
"15.6.1992",1773.9,890.97
"16.6.1992",1779.1,898.64
"17.6.1992",1771.78,892.54
"18.6.1992",1771.78,880.21
"19.6.1992",1772.89,887.87
"22.6.1992",1770.64,876
"23.6.1992",1771.14,879.7
"24.6.1992",1768.49,870.12
"25.6.1992",1764.89,878.34
"26.6.1992",1754.13,870.41
"29.6.1992",1757.12,864.61
"30.6.1992",1752.63,866.53
"1.7.1992",1756.26,857.08
"2.7.1992",1768.61,851.13
"3.7.1992",1776.98,858.44
"6.7.1992",1772.36,848.56
"7.7.1992",1767.51,857.07
"8.7.1992",1751.18,849.78
"9.7.1992",1757.64,858.46
"10.7.1992",1754.48,856.22
"13.7.1992",1736.5,852.81
"14.7.1992",1734.1,854.72
"15.7.1992",1734.62,855.55
"16.7.1992",1740.53,854.65
"17.7.1992",1702.66,836.84
"20.7.1992",1649.67,827.23
"21.7.1992",1659.77,831.34
"22.7.1992",1628.22,821.66
"23.7.1992",1623.37,825.68
"24.7.1992",1610.42,818.1
"27.7.1992",1618.09,810.35
"28.7.1992",1610.64,819.07
"29.7.1992",1628.15,836.24
"30.7.1992",1623.99,832.19
"31.7.1992",1615.42,828.1
"3.8.1992",1594.71,835.12
"4.8.1992",1611.51,831
"5.8.1992",1628.81,825.77
"6.8.1992",1621.15,820.57
"7.8.1992",1609.5,811.14
"10.8.1992",1582.55,805.89
"11.8.1992",1564.6,800.19
"12.8.1992",1553.01,798.03
"13.8.1992",1540.98,803.09
"14.8.1992",1547.8,816.62
"17.8.1992",1555.42,823.3
"18.8.1992",1533.22,815.87
"19.8.1992",1524.72,818.86
"20.8.1992",1513.06,817.61
"21.8.1992",1520.02,819.67
"24.8.1992",1498.74,801.35
"25.8.1992",1468.91,790.94
"26.8.1992",1473.28,792.35
"27.8.1992",1513.42,801.54
"28.8.1992",1516.47,801.78
"31.8.1992",1541.25,801.78
"1.9.1992",1518.7,796.94
"2.9.1992",1506.67,802.06
"3.9.1992",1530.75,825.91
"4.9.1992",1536.5,819.12
"7.9.1992",1540.63,823.51
"8.9.1992",1544.55,811.43
